Height (km),Zonal(U) (m/s),Meridional(V) (m/s),Vertical (W) (m/s)
4.7053781,-3.9459,-4.4388,0.12379
4.7506397,-3.7961,-4.7158,0.12154
4.795901300000001,-4.1259,-4.9333,0.074497
4.841163,-4.0246,-5.3608,0.09909
4.886424600000001,-3.8682,-5.7594,0.098982
4.9316862,-3.6655,-5.5798,0.086017
4.9769479,-3.8858,-5.9379,0.1053
5.0222095,-3.5513,-6.5249,0.053887
5.0674711,-3.4061,-7.0362,0.071329
5.1127327,-3.251,-6.9686,0.12281
5.1579944,-3.0053,-6.9398,0.10039
5.2032560000000005,-2.7107,-6.6438,0.12616
5.2485176000000004,-2.2931,-5.8856,0.15029
5.2937793,-2.7095,-5.9534,0.15303
5.3390409,-3.4111,-5.4698,0.15578
5.3843024999999995,-3.8802,-4.8083,0.12046
5.4295642,-4.0073,-4.1452,0.12273
5.4748258,-4.1116,-4.0949,0.11943
5.5200874,-3.3476,-4.6505,0.14382
5.565349,-2.736,-6.3183,0.14393
5.6106107000000005,-2.5896,-7.0546,0.075726
5.6558723,-2.3824,-7.1984,0.092179
5.701133899999999,-1.9527,-6.6042,0.0379
5.7463956,-2.1937,-5.2893,0.023638
5.7916571999999995,-3.0012,-5.6498,0.0017573
5.8369188,-2.9425,-3.8453,0.053956
5.8821805000000005,-3.5874,-3.9008,0.078385
5.9274421,-3.7945,-3.085,0.068568
5.9727037,-3.8277,-2.8857,0.056285
6.0179653,-3.949,-2.7853,0.034743
6.0632269999999995,-4.1472,-2.6257,0.075391
6.108488599999999,-4.288,-2.1529,0.096576
6.1537502,-3.8416,-1.9407,0.072119
6.1990119,-3.6177,-0.93841,0.046548
6.2442735,-3.3301,-0.072872,0.10579
6.2895351,-3.8291,1.1567,0.12528
6.3347968,-3.0895,1.3085,0.13339
6.3800584,-2.5241,0.76803,0.15255
6.42532,-1.826,0.63725,0.1285
6.4705816,-1.6065,0.0078934,0.13396
6.5158433,-1.7103,-0.4961,0.12662
6.5611049,-1.874,-0.70864,0.14557
6.6063665,-2.2563,-0.67641,0.11783
6.6516282,-1.8574,-0.50878,0.18331
6.6968898,-1.7477,-0.017167,0.16541
6.7421514,-1.1206,0.21388,0.16379
6.787413,-1.7945,-0.55152,0.11696
6.832674699999999,-0.14631,0.17309,0.16928
6.8779363,0.22225,0.87277,0.19131
6.9231979,-1.1735,0.87646,0.17554
6.9684596,-1.5328,0.5952,0.19644
7.1525808,-1.0489,1.2831,0.14176
7.334516300000001,0.56005,2.8681,0.13898
7.5164518,1.2411,3.9241,0.10943
7.6983873,0.0014597,4.4324,0.057851
7.8803228,-0.44189,4.9036,0.045122
8.0622583,-0.56854,5.2211,0.062712
8.2441938,0.26302,4.4495,0.042235
8.4261292,0.40015,3.4412,0.038368
8.608064700000002,-0.92345,2.2472,0.060171
8.7900002,-1.654,1.9652,0.057064
8.9719357,-2.5281,1.4625,0.030913
9.1538712,-2.9929,1.3273,0.021048
9.3358067,-1.6193,1.3102,0.018594
9.5177422,-1.3832,1.8333,0.021394
9.6996777,-2.1918,2.1583,0.072945
9.8816132,-4.8767,3.3512,0.2244
10.063549,-5.2158,3.9723,0.24037
10.245484000000001,-5.1571,5.4991,0.21904
10.42742,-5.3414,5.6848,0.22297
10.609354999999999,-6.1852,6.7912,0.29482
10.791291,-7.9828,6.9661,0.21249
10.973226,-10.304,8.942,0.30979
11.155162,-13.153,9.5194,0.025585
11.337097,-14.463,10.708,0.23253
11.519033,-14.951,11.8,0.1211
11.700968000000001,-15.453,14.987,0.33345
11.882904,-15.827,16.532,0.33351
12.064839,-17.008,17.385,0.38384
12.246775,-18.04,16.404,0.17995
12.428709999999999,-20.076,14.775,0.4556
12.610646000000001,-22.974,14.343,0.23921
12.792581,-23.378,13.374,0.35689
12.974517,-25.098,10.083,0.55683
13.156452,-24.429,7.7041,0.35702
13.338388,-24.315,7.2336,0.3283
13.520323000000001,-22.794,6.0803,0.37689
13.702258,-22.584,4.225,0.20291
13.884193999999999,-22.563,3.5819,0.3589
14.066129,-21.256,1.7595,0.4295
14.248065,-21.057,1.2681,0.37765
14.43,-23.615,1.7478,0.35641
14.611936,-23.809,-1.9987,0.23682
14.793871,-24.73,-1.4701,0.057467
14.975807000000001,-26.414,-2.1894,0.20869
15.157742,-29.619,-4.1569,0.20229
15.339678,-29.961,-4.8448,0.19891
15.521612999999999,-32.032,-4.539,0.13914
15.703549,-31.56,-4.6003,0.1903
15.885484,-32.179,-0.41251,0.18612
16.06742,-31.82,0.9466,0.13157
16.249355,-34.471,2.0428,0.0076441
16.431291,-35.62,3.1884,0.036546
16.613225999999997,-37.65,1.8132,-0.76074
16.795162,-34.436,5.156,-0.77775
16.977097,-33.105,13.065,-0.82458
17.159033,-36.13,8.9553,-0.51951
17.340968,-39.604,6.891,-0.43802
17.522903999999997,-39.011,6.4343,-0.069484
17.704839,-39.935,6.6984,-0.19026
17.886775,-43.343,10.008,0.20192
