Height (km),Zonal(U) (m/s),Meridional(V) (m/s),Vertical (W) (m/s)
0.315,3.9249,-0.31656,0.35708
0.36026163,2.3708,0.16234,0.15451
0.40552326,1.9566,0.071434,0.084819
0.45078489,2.8022,-0.76415,0.08314
0.49604652,2.9694,-0.98709,0.056445
0.54130815,2.8006,-1.6404,-0.055793
0.58656978,3.3756,-1.6282,-0.035892
0.63183141,3.3956,-2.2001,-0.05503
0.6770930399999999,3.3472,-2.7188,-0.057418
0.7223546700000001,4.1753,-2.297,-0.029857
0.7676163,4.2526,-2.2897,-0.036196
0.81287793,5.706,-2.8506,-0.094953
0.8581395599999999,6.2257,-3.0605,-0.036343
0.9034011900000001,6.7835,-3.4357,0.0055413
0.94866282,7.1563,-3.5719,0.0093883
0.99392445,7.2616,-4.0974,0.010758
1.0391861,7.6003,-3.8794,0.04241
1.0844477,7.6032,-3.7264,-0.0079663
1.1297093,8.1055,-3.5518,-0.042633
1.174971,7.9358,-4.1173,0.033359
1.2202326000000001,8.9354,-4.4617,0.031172
1.2654942,9.3391,-4.7714,0.025437
1.3107559000000002,9.0461,-5.5026,0.014264
1.3560174999999999,9.4113,-5.5244,0.017173
1.4012791,9.2955,-5.0016,0.02667
1.4465407000000001,10.3,-4.2503,-0.025748
1.4918024,10.269,-4.2274,-0.0010589
1.537064,10.805,-5.0093,-0.08087
1.5823255999999999,11.125,-5.3947,-0.075299
1.6275872999999998,11.419,-5.0206,-0.089731
1.6728489,10.91,-5.0217,-0.085519
1.7181105,10.67,-4.7341,-0.015161
1.7633722,11.084,-5.0978,0.0072524
1.8086338,10.349,-4.9724,-0.003353
1.8538954,10.198,-5.6572,0.013535
1.899157,10.017,-6.331,0.035446
1.9444187,10.083,-5.9994,0.074731
1.9896803,9.1077,-5.8503,0.11019
2.0349419,8.996,-6.0156,0.16494
2.0802036,8.9821,-6.1101,0.11294
2.1254652000000003,8.8704,-6.1801,0.098392
2.1707267999999997,8.1832,-5.6926,0.070894
2.2159884,8.2517,-5.2761,0.097534
2.2612501000000003,8.1071,-5.3696,0.039021
2.3065117,7.961,-5.2428,0.033196
2.3517732999999996,8.1433,-5.1834,-0.00086447
2.397035,6.3601,-4.3111,-0.024784
2.4422966,6.0538,-3.9143,-0.026646
2.4875582,6.5182,-3.7168,0.00044908
2.5328199,6.6579,-3.5767,-0.016564
2.5780814999999997,7.0747,-3.9494,-0.066771
2.6233431,7.2864,-4.6037,-0.089878
2.6686047,7.0599,-5.078,-0.055764
2.7138663999999997,6.7766,-5.9814,-0.096313
2.759128,6.0887,-5.2719,-0.064815
2.8043896,6.0749,-4.8233,-0.12024
2.8496513,5.5728,-4.0103,-0.1309
2.8949129,5.367,-3.1622,-0.2
2.9401745,5.2586,-3.082,-0.23377
2.9854362,5.0046,-3.0615,-0.29964
3.0306978,3.0948,-3.7098,-0.38554
3.0759594000000003,3.1068,-5.1765,-0.27467
3.121221,1.7437,-4.8372,-0.27651
3.1664827,1.5066,-4.2824,-0.32152
3.2117443,1.2152,-6.1185,-0.12656
3.2570059000000002,0.58207,-5.209,-0.22378
3.3022676,0.2892,-5.4017,-0.22371
3.3475292,0.096499,-4.8901,-0.2041
3.3927908,-0.36102,-4.7617,-0.22285
3.4380524,-0.43218,-4.8775,-0.203
3.4833141,-0.91963,-4.2811,-0.20434
3.5285756999999998,-1.4586,-3.6165,-0.17932
3.5738373,-1.3274,-2.8171,-0.1638
3.6190990000000003,-1.1367,-2.7182,-0.20966
3.6643606,-1.5649,-2.8431,-0.16649
3.7096221999999996,-1.6886,-2.9808,-0.24307
3.7548839,-1.9404,-3.3772,-0.26068
3.8001455,-1.3398,-3.721,-0.26431
3.8454071,-1.9384,-3.4752,-0.27941
3.8906687,-1.3908,-3.3206,-0.37388
3.9359304,-1.4614,-3.3502,-0.37664
3.981192,-2.1343,-2.8116,-0.32253
4.0264536,-2.5542,-2.7335,-0.27393
4.0717153,-2.5728,-2.4899,-0.18994
4.1169769,-2.2305,-1.7555,-0.15459
4.1622385,-1.446,-1.2314,-0.021969
4.2075002,-1.7117,-1.1299,-0.024873
4.2527618,-1.7714,-1.3633,0.0050781
4.2980234,-1.7159,-1.1028,0.021527
4.343285,-2.1643,-1.4546,0.020818
4.3885467,-2.3475,-1.8667,0.012684
4.4338083,-2.8681,-1.9258,0.03126
4.479069900000001,-2.9461,-2.4709,0.035717
4.5243316,-3.3313,-3.1388,0.041682
4.5695932,-3.5458,-3.3051,0.075156
4.6148548,-3.8409,-3.9037,0.1057
4.6601165,-3.3346,-4.2852,0.10886
