Height (km),Zonal(U) (m/s),Meridional(V) (m/s),Vertical (W) (m/s)
0.315,4.5228,-5.0504,-1.1369
0.36026163,3.3999,-4.6587,-0.72867
0.40552326,2.3479,-5.0893,-0.081104
0.45078489,1.9589,-4.1982,-0.17667
0.49604652,1.3408,-4.3348,-0.27764
0.54130815,6.5204,-4.5996,-0.097732
0.58656978,7.9296,-4.4026,0.34782
0.63183141,8.443,-5.3538,0.25872
0.6770930399999999,11.044,-5.0885,0.37192
0.7223546700000001,13.978,-5.9276,0.57938
0.7676163,14.78,-6.2246,0.53859
0.81287793,15.358,-5.8336,0.45904
0.8581395599999999,15.433,-5.9612,0.49275
0.9034011900000001,15.257,-5.5995,0.50043
0.94866282,9.7741,-4.5954,0.46311
0.99392445,9.2979,-5.2227,0.52242
1.0391861,7.4306,-7.0793,0.11836
1.0844477,7.8235,-6.0138,0.2122
1.1297093,7.8007,-5.6613,0.17093
1.174971,8.0034,-5.0672,0.30309
1.2202326000000001,7.5183,-5.2613,0.30108
1.2654942,10.803,-5.0637,0.33909
1.3107559000000002,10.735,-4.886,0.35052
1.3560174999999999,11.237,-5.2137,0.31866
1.4012791,10.775,-5.303,0.32788
1.4465407000000001,11.171,-4.8153,0.34476
1.4918024,10.894,-4.965,0.37305
1.537064,10.632,-5.3922,0.35182
1.5823255999999999,9.0437,-4.5407,0.36678
1.6275872999999998,8.7742,-5.6641,0.45092
1.6728489,7.7778,-5.4783,0.47354
1.7181105,7.7175,-5.5863,0.46691
1.7633722,8.1866,-5.9107,0.50606
1.8086338,8.785,-6.7184,0.40039
1.8538954,9.4765,-7.1017,0.4105
1.899157,9.7751,-6.8115,0.43831
1.9444187,9.4445,-7.1647,0.38749
1.9896803,9.0855,-7.5759,0.44324
2.0349419,8.7329,-7.5913,0.41435
2.0802036,8.3114,-7.5313,0.40507
2.1254652000000003,7.6193,-7.5561,0.37695
2.1707267999999997,6.8155,-7.6664,0.36617
2.2159884,6.1276,-7.5912,0.30965
2.2612501000000003,5.6223,-7.6604,0.23316
2.3065117,5.528,-7.5952,0.20341
2.3517732999999996,5.8453,-6.854,0.1593
2.397035,5.3412,-6.0987,0.14029
2.4422966,4.6419,-5.8368,0.16271
2.4875582,4.9243,-5.3038,0.1348
2.5328199,4.8977,-4.0624,0.183
2.5780814999999997,4.6051,-3.9548,0.18192
2.6233431,4.6233,-4.1967,0.2
2.6686047,3.5512,-2.7997,0.081714
2.7138663999999997,2.9815,-2.6172,0.10666
2.759128,2.0078,-2.7092,0.086031
2.8043896,1.6876,-3.052,0.10238
2.8496513,1.3782,-3.8448,0.085561
2.8949129,1.159,-4.0932,0.11694
2.9401745,1.0504,-4.8148,0.12717
2.9854362,-0.0088742,-5.1186,0.084511
3.0306978,-1.0471,-5.129,0.10862
3.0759594000000003,-1.1687,-5.773,0.087394
3.121221,-0.79404,-5.7617,0.045328
3.1664827,-0.91751,-5.2998,0.041572
3.2117443,-0.75619,-5.2564,-0.0094714
3.2570059000000002,-0.97811,-4.8146,-0.028059
3.3022676,-1.3054,-4.4494,-0.0035826
3.3475292,-1.8096,-4.0261,-0.0076896
3.3927908,-2.8695,-3.2692,-0.032358
3.4380524,-3.2693,-2.9736,-0.05072
3.4833141,-3.3759,-3.0976,-0.060681
3.5285756999999998,-3.7795,-3.1237,-0.082714
3.5738373,-4.4937,-2.8584,-0.058401
3.6190990000000003,-4.6253,-2.6993,-0.083327
3.6643606,-4.8517,-2.7072,-0.062667
3.7096221999999996,-4.8098,-2.806,-0.067104
3.7548839,-4.9359,-2.6533,-0.049423
3.8001455,-5.061,-2.7325,0.0015775
3.8454071,-4.9528,-2.2168,0.013056
3.8906687,-4.7265,-2.2953,0.058256
3.9359304,-4.8151,-2.4808,0.01924
3.981192,-4.3177,-3.1572,0.0097792
4.0264536,-4.2627,-3.4046,0.013325
4.0717153,-4.0223,-3.004,0.07436
4.1169769,-3.9234,-3.1639,0.11516
4.1622385,-3.8578,-2.9958,0.13941
4.2075002,-3.3378,-2.8835,0.15719
4.2527618,-2.7363,-2.2882,0.17258
4.2980234,-2.9315,-2.2479,0.14294
4.343285,-3.1067,-1.9081,0.095387
4.3885467,-2.8837,-1.5644,0.051967
4.4338083,-3.0445,-1.731,0.0078934
4.479069900000001,-3.0917,-2.0828,-0.062856
4.5243316,-2.7572,-2.2132,-0.056386
4.5695932,-2.6016,-2.2246,-0.061205
4.6148548,-2.1389,-2.311,0.011189
4.6601165,-1.5321,-2.2267,0.067916
4.7053781,-1.7988,-2.6809,0.12135
4.7506397,-2.2567,-2.5363,0.1314
4.795901300000001,-2.251,-3.0514,0.13653
4.841163,-2.6261,-3.4221,0.19667
4.886424600000001,-2.4839,-3.2949,0.19012
4.9316862,-2.406,-2.9646,0.18847
4.9769479,-2.6243,-2.4554,0.18313
5.0222095,-3.2028,-1.9631,0.15243
5.0674711,-3.0306,-1.3439,0.094663
5.1127327,-2.6622,-1.2839,0.070216
5.1579944,-2.5043,-1.4291,0.10854
5.2032560000000005,-2.225,-1.4315,0.12574
5.2485176000000004,-1.9595,-1.1198,0.11744
5.2937793,-2.329,-1.6533,0.060449
5.3390409,-2.9102,-2.3313,0.0082293
5.3843024999999995,-3.4835,-2.1701,-0.052624
5.4295642,-3.5376,-1.6435,-0.039573
5.4748258,-3.373,-1.9157,-0.032753
5.5200874,-2.9806,-3.3883,0.12913
5.565349,-3.0942,-3.287,0.080776
5.6106107000000005,-5.1657,-3.3361,0.079021
5.6558723,-5.2511,-3.932,0.023615
5.701133899999999,-6.2083,-4.4323,0.072478
5.7463956,-6.1621,-3.6019,-0.0058219
5.7916571999999995,-6.4514,-3.8998,0.041944
5.8369188,-4.1338,-4.2888,-0.21045
5.8821805000000005,-4.6694,-4.0453,-0.24575
5.9274421,-3.9801,-3.6699,-0.33899
5.9727037,-4.4021,-3.1642,-0.41998
6.0179653,-5.3859,-2.638,-0.79171
6.0632269999999995,-6.6752,-3.7545,-0.94328
6.108488599999999,-6.9184,-2.3378,-0.96959
6.1537502,-7.0174,-1.8803,-1.0525
6.1990119,-7.1151,-1.6248,-0.99544
6.2442735,-8.2164,-4.536,-1.4013
6.2895351,-8.394,-4.5621,-1.4458
6.3347968,-7.4502,-4.6059,-1.1909
6.3800584,-4.8521,-4.1334,-1.0233
6.42532,-4.0947,-5.2738,-0.97878
6.4705816,-2.7798,-4.3495,-0.88597
6.5158433,-1.2374,-1.4443,-0.56478
6.5611049,-0.70365,-0.25316,-0.49574
6.6063665,-0.47072,-0.087844,-0.55901
6.6516282,-0.26469,-0.14487,-0.58949
6.6968898,0.75248,-0.54127,-0.48695
6.7421514,0.56596,0.69506,-0.42126
6.787413,1.3948,0.72944,-0.39278
6.832674699999999,0.86782,0.47389,-0.37553
6.8779363,3.0786,-1.3016,-0.26043
6.9231979,3.6576,-1.3937,-0.19046
6.9684596,5.2149,-1.6797,-0.18881
7.1525808,1.02,1.3851,-0.068198
7.334516300000001,0.30428,2.1084,-0.0051498
7.5164518,-1.9615,0.99333,-0.013718
7.6983873,-2.8744,1.1247,-0.082136
7.8803228,-8.2678,1.2839,-0.10298
8.0622583,-8.803,3.0401,-0.073997
8.2441938,-11.246,3.4183,0.010377
8.4261292,-11.578,5.1566,-0.25445
8.608064700000002,-11.626,5.2741,-0.267
8.7900002,-8.0495,4.7178,-0.6396
8.9719357,-4.3596,3.2837,-0.34203
9.1538712,-3.751,3.4003,-0.39482
9.3358067,-3.5942,1.1658,-0.68623
9.5177422,-7.1301,1.5906,-1.0262
9.6996777,-6.7519,1.382,-1.0339
9.8816132,-4.6261,1.6415,-1.1753
10.063549,-0.93699,1.8646,-0.99036
10.245484000000001,-0.19909,1.4184,-1.1073
10.42742,0.51851,0.96573,-1.1108
10.609354999999999,0.035515,2.193,-1.0492
10.791291,-2.7343,2.5057,-0.8312
10.973226,-2.9651,4.5872,-0.55519
11.155162,-1.7588,5.5877,-0.51733
11.337097,-4.347,7.3522,-0.53421
11.519033,-7.9668,9.2241,-0.1584
11.700968000000001,-8.1448,9.1943,-0.23171
11.882904,-11.569,10.823,-0.11655
12.064839,-11.309,10.735,-0.050082
12.246775,-15.366,11.385,-0.090445
12.428709999999999,-16.303,13.502,-0.09822
12.610646000000001,-16.845,11.131,0.20461
12.792581,-17.455,10.481,0.26522
12.974517,-18.779,11.331,0.10648
13.156452,-19.028,10.323,0.010576
13.338388,-18.867,10.443,0.10129
13.520323000000001,-18.84,8.3918,0.033591
13.702258,-19.841,6.2856,0.35469
13.884193999999999,-21.892,1.1315,0.27986
14.066129,-22.306,1.8119,0.2985
14.248065,-21.477,-1.3858,0.41239
14.43,-22.086,-0.56491,0.45312
14.611936,-23.021,-1.5501,0.41614
14.793871,-23.75,-0.38507,0.35479
14.975807000000001,-23.838,-0.27798,0.25518
15.157742,-22.746,0.23871,0.20021
15.339678,-23.068,1.3552,0.14875
15.521612999999999,-27.172,2.0203,0.15758
15.703549,-29.442,0.98956,0.096514
15.885484,-30.036,0.458,0.069822
16.06742,-34.13,-2.1597,0.14073
16.249355,-35.947,-2.6296,0.51173
16.431291,-38.843,-1.4725,0.28078
16.613225999999997,-38.946,-1.8205,0.24316
16.795162,-39.876,-1.8886,0.086176
16.977097,-40.876,-3.1326,-0.035797
17.159033,-41.327,-2.3141,0.022441
17.340968,-40.279,-3.6966,-0.064373
17.522903999999997,-50.736,-5.6999,0.60501
17.704839,-56.645,-6.0222,0.51279
17.886775,-52.217,-1.8597,0.42109
