Height (km),Zonal(U) (m/s),Meridional(V) (m/s),Vertical (W) (m/s)
6.3800584,-1.141,-0.67932,0.073162
6.42532,-0.91219,-0.78837,0.077498
6.4705816,-1.1766,-1.0081,0.032869
6.5158433,-0.67577,-1.1353,0.041426
6.5611049,-1.0956,-0.36943,0.021143
6.6063665,-1.6288,-0.28847,0.024633
6.6516282,-0.9019,-0.097028,0.15578
6.6968898,-0.65085,0.059298,0.111
6.7421514,-0.1744,0.17594,0.13257
6.787413,0.37,1.1465,0.10563
6.832674699999999,0.66193,1.3246,0.10804
6.8779363,0.89399,1.4251,0.066844
6.9231979,0.97946,1.1345,0.04506
6.9684596,1.24,0.8137,0.085856
7.1525808,-0.20655,-0.2182,0.16676
7.334516300000001,-0.21693,-0.61378,0.15896
7.5164518,0.27693,-1.1248,0.15453
7.6983873,0.66795,0.9727,0.042859
7.8803228,-0.1318,1.6548,0.085673
8.0622583,-1.2092,1.7435,0.012325
8.2441938,-2.9619,1.8203,-0.054924
8.4261292,-3.8047,2.9139,-0.050658
8.608064700000002,-4.5549,3.3854,-0.053241
8.7900002,-6.321,2.2366,0.026871
8.9719357,-6.892,-0.45076,0.039334
9.1538712,-7.4496,-0.66799,0.097772
9.3358067,-6.5226,-0.86894,0.098582
9.5177422,-6.5393,-0.32547,0.077324
9.6996777,-6.9449,-0.54235,0.04172
9.8816132,-7.3239,-0.58837,0.10352
10.063549,-4.9733,0.82929,-0.078774
10.245484000000001,-3.4315,1.3941,-0.005727
10.42742,-3.4627,4.7904,-0.0083663
10.609354999999999,-5.5352,5.1375,0.13415
10.791291,-8.2201,7.4399,-0.065319
10.973226,-10.424,9.3943,0.25639
11.155162,-11.596,11.192,0.094215
11.337097,-15.163,13.367,0.2022
11.519033,-14.802,13.918,0.17613
11.700968000000001,-19.138,13.166,0.19148
11.882904,-19.591,13.066,0.18465
12.064839,-22.532,11.745,0.11634
12.246775,-23.139,11.507,0.17834
12.428709999999999,-23.079,9.0469,0.23665
12.610646000000001,-20.368,9.7862,0.10334
12.792581,-19.672,8.1722,-0.0066105
12.974517,-19.237,6.1563,0.21803
13.156452,-19.646,4.4975,-0.036788
13.338388,-17.923,2.287,0.13446
13.520323000000001,-18.131,-0.047621,0.17075
13.702258,-18.973,0.94505,0.19857
13.884193999999999,-19.918,-2.2728,0.27082
14.066129,-20.411,-2.7196,0.2567
14.248065,-20.623,-4.1791,0.34721
14.43,-20.584,-2.9441,0.25905
14.611936,-21.194,-4.4527,0.13895
14.793871,-21.048,-3.7895,0.13894
14.975807000000001,-22.131,-3.5934,0.11305
15.157742,-22.88,2.8847,0.19513
15.339678,-22.138,2.5916,0.24277
15.521612999999999,-23.025,3.503,0.20027
15.703549,-31.216,4.0979,0.066135
15.885484,-31.338,3.8745,0.24706
16.06742,-33.177,3.8063,0.15074
16.249355,-32.256,4.5662,0.059655
16.431291,-33.232,1.2165,0.21994
16.613225999999997,-34.922,4.6244,0.3524
16.795162,-36.961,4.0476,0.12438
16.977097,-37.45,2.9823,-0.0017379
17.159033,-41.89,-0.5244,0.046209
17.340968,-42.438,-1.5495,0.048377
17.522903999999997,-36.831,-5.9415,-0.3162
17.704839,-38.027,-9.5116,-0.51045
17.886775,-35.961,-12.222,-0.17786
